Variable	Importance	Sign
PF02417_IPR003370	1.710525278757215	NEG
PF13354_IPR045155	1.465429022475279	NEG
PF04655_IPR006748	1.4603662151812042	NEG
PF10624_IPR018898	0.6113176157419371	POS
PF13495_IPR004107	0.5135379541007885	NEG
PF08722_IPR014833	0.4220277905685865	NEG
PF20155_IPR013491	0.37752954578773174	NEG
PF08721_IPR014832	0.37309825863882123	NEG
PF06527_IPR009492	0.37053271794941006	NEG
PF11426_IPR021542	0.3675897562877535	NEG
PF15978_IPR032750	0.3667177243079798	NEG
PF18623_IPR041419	0.35148501892482886	NEG
PF03795_IPR005545	0.34135620466305866	NEG
PF06056_IPR010332	0.28495031157290857	NEG
PF00165_IPR018060	0.26457753651429583	NEG
PF23505_IPR057800	0.25581131881395075	NEG
PF02730_IPR013983	0.22651135752969706	NEG
PF01314_IPR001203	0.22585965737674715	NEG
PF07120_IPR010781	0.20143151207783871	NEG
PF10834_IPR022544	0.1953433992200771	NEG
PF06176_IPR009330	0.19201912523191764	NEG
PF13340_IPR025161	0.18002072146643555	NEG
PF13610_IPR032874	0.17676276148447134	NEG
PF06998_IPR009736	0.1744371671378011	NEG
PF03691_IPR005363	0.1622265035440197	POS
PF06892_IPR009679	0.15668381347441	NEG
PF13683_IPR001584	0.1559134905165027	POS
PF06476_IPR009468	0.13736962553618676	NEG
PF07332_IPR009937	0.13608470331950948	NEG
PF13997_IPR025612	0.1346236772917824	NEG
PF04151_IPR007280	0.13436309457116635	POS
PF10798_IPR024753	0.12400462066198385	POS
PF13737_IPR025668	0.12315548256883946	NEG
PF02090_IPR002954	0.11951126669479688	NEG
PF02517_IPR003675	0.11761056751284528	POS
PF23694_IPR048209	0.09945427821970682	NEG
PF21882_IPR054075	0.09597575558532495	NEG
PF08849_IPR014948	0.09151314449454075	NEG
PF01815_IPR000769	0.0814879166923903	NEG
PF03203_IPR004891	0.08124831403218491	NEG
PF10733_IPR019669	0.07985083838956636	POS
PF10011_IPR018723	0.07618178428973318	NEG
PF13992_IPR025731	0.06624226527835851	POS
PF13999_IPR025732	0.06586305894408787	NEG
PF13483_.	0.06538409089078952	POS
PF01218_IPR001260	0.06506122772299212	POS
PF17287_IPR035251	0.06488165114697253	NEG
PF13744_IPR039554	0.06383484010665182	NEG
PF08479_IPR013686	0.06258753304908622	NEG
PF26516_IPR058975	0.0599858516004914	POS
PF01076_IPR001668	0.05171867828653289	NEG
PF04466_IPR035412	0.04357799558711368	POS
PF05713_IPR008687	0.04317370995374237	NEG
PF04303_IPR007400	0.042729242152295274	POS
PF05016_IPR007712	0.04258717807183526	POS
PF01784_IPR002678	0.042019501095338314	NEG
PF00875_IPR006050	0.04102881817950258	NEG
PF02626_IPR003778	0.040952228553454935	NEG
PF02682_IPR003833	0.039923013131686044	NEG
PF03441_IPR005101	0.03916006623594749	NEG
PF10618_IPR019596	0.039106909593496275	POS
PF03746_IPR005501	0.038389439077047484	NEG
PF05145_IPR007820	0.0374574475826044	NEG
PF10948_IPR024400	0.03711391711419416	POS
PF08349_IPR013560	0.03675508329635281	NEG
PF21821_IPR048494	0.0330086454879321	NEG
PF21716_IPR014057	0.03259380358637059	POS
PF13986_IPR025319	0.030026628827016524	POS
PF10423_IPR018953	0.028987793672636812	NEG
PF12802_IPR000835	0.028557732206144354	POS
PF15958_IPR031881	0.028156261022908583	POS
PF15946_IPR031860	0.028093814819283084	POS
PF21519_IPR049104	0.02704271253221568	POS
PF03806_IPR004697	0.02592259667319942	NEG
PF08346_IPR013557	0.024392020690031338	NEG
PF12106_IPR021964	0.022070431823862098	NEG
PF11480_IPR020127	0.021858843958446127	NEG
PF07221_IPR010819	0.02183140768142799	POS
PF13477_IPR028098	0.021565737020062932	NEG
PF10076_IPR018755	0.021160756363449655	NEG
PF21085_IPR048590	0.02106000314855255	POS
PF21661_IPR049206	0.020344139117747607	POS
PF21999_IPR053848	0.020269931378850508	POS
PF02411_IPR003457	0.01950291174955286	NEG
PF07660_IPR011662	0.014614578262518422	POS
PF04773_IPR006860	0.014054753340165451	POS
PF16220_IPR032623	0.013573537573941896	POS
PF10968_IPR024494	0.011755583889374943	NEG
PF08362_IPR013573	0.011648100119597571	NEG
PF13591_.	0.011472034997955686	NEG
PF00743_IPR020946	0.009464558124791482	NEG
PF00813_IPR005838	0.009438219255854129	POS
PF01311_IPR002010	0.009256688002215612	POS
PF01313_IPR002191	0.009005974372193859	POS
PF13638_IPR002716	0.008718479241799297	POS
PF06628_IPR010582	0.00829759543731761	POS
PF00145_IPR001525	0.008278912564437626	POS
PF00199_IPR011614	0.007019454775713768	POS
PF10729_IPR019666	0.006955970896121821	POS
PF06074_IPR009279	0.006299423443683498	POS
PF01087_IPR005849	0.006106318879488648	NEG
PF02445_IPR003473	0.006062987488311003	NEG
PF02744_IPR005850	0.006002963299512293	NEG
PF18011_IPR041399	0.0059793068137907746	POS
PF04973_IPR006419	0.005800882646028412	NEG
PF02522_IPR003679	0.005609439754018293	NEG
PF03852_IPR004603	0.005549294717828533	POS
PF04193_IPR006603	0.005547779462023001	NEG
PF13730_.	0.005463254820156005	NEG
PF10124_IPR018774	0.0054494744805589825	POS
PF10123_IPR012106	0.005352548425970359	POS
PF04794_IPR006879	0.005186602728623099	POS
PF05838_IPR008565	0.004867072866022491	POS
PF10509_IPR019539	0.004803633022531409	NEG
PF07030_IPR009752	0.004790258784272028	POS
PF08765_IPR014875	0.0046590186033098275	POS
PF13132_IPR025030	0.004564904293226686	NEG
PF16793_IPR039459	0.004445671166987666	NEG
PF17151_IPR033416	0.004395682967931948	POS
PF09938_IPR019231	0.004226352044518845	NEG
PF10805_IPR020269	0.0041911417543343005	POS
PF18284_IPR040743	0.004141332043173544	POS
PF06222_IPR010411	0.004036338847136432	NEG
PF19942_IPR045644	0.003980298524612173	NEG
PF11367_IPR021508	0.0039289920844754345	NEG
PF06252_IPR009363	0.0039004826549132814	POS
PF06199_IPR011855	0.0038766225228637516	NEG
PF09374_IPR018537	0.0037819022920046836	POS
PF22448_IPR054366	0.003656355723631024	NEG
PF11985_IPR021874	0.003645065316785376	POS
PF06120_IPR009302	0.003584510076767428	NEG
PF01923_IPR016030	0.003530340104220241	NEG
PF03480_IPR018389	0.0035019159937473687	POS
PF05638_IPR008514	0.003479466119359032	NEG
PF10766_IPR019702	0.0034685044213635177	NEG
PF26345_IPR058807	0.0033772217281830127	NEG
