Variable	Importance	Sign
fig.623.1101.peg.5021	1.3410139410070558	NEG
fig.623.1101.peg.4183	0.8439069070079672	NEG
fig.623.2657.peg.1191	0.7011873510648234	NEG
fig.623.1101.peg.5024	0.25775142793745887	NEG
fig.623.1101.peg.4187	0.24446795525184334	NEG
fig.623.1281.peg.1226	0.1975734046797335	NEG
fig.623.1368.peg.2595	0.19418421231922697	NEG
fig.623.1368.peg.4025	0.18960660417400418	NEG
fig.623.1101.peg.5009	0.17965089500624895	NEG
fig.623.1103.peg.16	0.1435185266562161	NEG
fig.623.305.peg.4595	0.14231768499422098	NEG
fig.623.1358.peg.4430	0.10576272880807437	POS
fig.623.1284.peg.4684	0.08209546140367392	NEG
fig.623.1288.peg.3932	0.08036585874888832	NEG
fig.623.1356.peg.4144	0.06066954074058852	NEG
fig.623.1101.peg.4193	0.056658099758109697	NEG
fig.623.1303.peg.3997	0.055138208383695174	POS
fig.623.1303.peg.2940	0.05452807785958327	POS
fig.623.1303.peg.4395	0.05121265325802633	POS
fig.623.1101.peg.886	0.04758889529267629	POS
fig.623.1297.peg.528	0.046004950423512894	POS
fig.623.1303.peg.3418	0.04582147143134454	POS
fig.623.1303.peg.280	0.0453556684285107	POS
fig.623.1303.peg.2211	0.04499700726066515	POS
fig.623.1303.peg.2821	0.04455553447336322	POS
fig.623.1303.peg.2822	0.043832094288424786	POS
fig.623.1303.peg.4112	0.04243094487492366	POS
fig.623.1303.peg.4149	0.041811132492550834	POS
fig.623.1303.peg.4462	0.04166444446769229	POS
fig.623.1303.peg.4314	0.04148149391006473	POS
fig.623.1303.peg.4321	0.040674350057640155	POS
fig.623.1358.peg.1275	0.03531672604562329	NEG
fig.623.1305.peg.4376	0.03427569942254516	NEG
fig.623.1101.peg.4190	0.03220616158873592	NEG
fig.623.1101.peg.3618	0.029730111805827266	POS
fig.623.1101.peg.3612	0.02944177911352029	POS
fig.623.305.peg.3227	0.02931398850231551	NEG
fig.623.1101.peg.3619	0.02887358705174284	POS
fig.623.1102.peg.866	0.026485097430854188	POS
fig.623.1281.peg.2800	0.0249188418655984	POS
