Variable	PEN	PEN_TMD	TMD_MAC_PEN	TMD_PEN	TMD_PEN_MAC
PF00128_IPR006047	0	0	0	0	0.003595723915929857
PF00140_IPR009042	0	0	0	0	0.4497713084703739
PF00165_IPR018060	-0.10179971134077714	0	0.7485217331581941	0	0
PF00171_IPR015590	0	0	0	0	-0.007451010248070984
PF00186_IPR001796	-2.194369886819879	0	0	0	0
PF00230_IPR000425	0	0	0	-0.35847257969668456	0
PF00258_IPR008254	0	0.1747159172634365	0	-0.007583514147659117	0
PF00301_IPR024935	0	0.1661298421335342	0	-0.004175434740770221	0
PF00361_IPR001750	0	0	-0.7885423905634119	0	0
PF00398_IPR001737	0	0	0	-0.03223454118302379	0
PF00462_IPR002109	0	0	-0.2986582930432948	0	0
PF00474_IPR001734	0	0	0.24744860044895078	0	-0.02345725978108683
PF00478_IPR001093	0	0	0	0	0.21725531562868072
PF00565_IPR016071	0	0	0.05334854211811673	0	0
PF00675_IPR011765	0	0	0	0.11175042566016063	0
PF00809_IPR000489	-0.3695861954839246	0	0	0	0
PF00881_IPR029479	0	-0.1580234563821206	0	0.2683865789345407	0
PF00893_IPR045324	0	-0.04875236987286226	0	0	0
PF01155_IPR000688	0	0	0	0	-0.0167012588991169
PF01168_IPR001608	0	0.007755088003865619	0	0	0
PF01385_IPR001959	0	0	0.5274694186438836	0	-0.003272099450219249
PF01420_IPR000055	0	0	0	-3.736914480062547e-4	0
PF01487_IPR001381	0	0	0	0	-0.015342842964282373
PF01512_IPR011538	0	0.06878928375808739	0	0	-0.1037614873495529
PF01527_IPR002514	0	-0.16111021480227425	0	0	0
PF01555_IPR002941	0	0	0	0	0.2634252981451321
PF01636_IPR002575	-1.0276288938400457	0	0	0	0
PF01734_IPR002641	0.0016861067744824926	0	0	0	0
PF01943_IPR002797	0	-0.03228757699108376	0	0	0
PF02028_IPR000060	0	0.06933229905372855	0	0	0
PF02387_IPR003446	0	-0.006573365703837548	0	0	0.10103863011599012
PF02417_IPR003370	0	0	0.01638175868612276	-0.05497178931614065	0
PF02515_IPR003673	0	-0.2284876803506491	0	0	0
PF02572_IPR003724	0	0	0	0	0.21629462064369673
PF02610_IPR055389	-0.03327099289145796	0	0	0.03589550090481638	0
PF02705_IPR053951	0	0	0.12668607150694147	0	0
PF02796_IPR006120	0	0.0041929527550866735	0	0	0
PF02899_IPR004107	0	-0.05397232431077477	0	0	0
PF02902_IPR003653	0	0.7702016544616983	-0.1606654096141756	-0.29246012965015805	0
PF02909_IPR004111	0	-0.3597002716690871	0	0	0
PF03090_IPR004322	0	0	0	-0.11233347081082314	0
PF03245_IPR004929	0	0	-0.19282259120672154	0	0.0811616411384464
PF03279_IPR004960	0	0.03331284228164029	0	0	0
PF03389_IPR005053	0	0	0	-0.012825915658405839	0.31672302387690204
PF03400_IPR005063	0	0	0	-0.005406528423804753	0
PF03526_IPR003061	0	0.7632785700909287	0	-0.007815045729836888	0
PF03551_IPR005149	0	0	0.558976392035485	-0.033275853411157456	0.41468926238787
PF03738_IPR005494	0	0.011379760277939023	0	0	0
PF03743_IPR005498	0	0	0	-0.25130664765209076	0
PF03795_IPR005545	-0.041512079144489636	0	0	0	0
PF04055_IPR007197	0	0	0	0	-0.22220133982165152
PF04138_IPR007267	0	-0.7997783888695195	0	0	0
PF04352_IPR016103	0	0	0.7546424874072357	0	0
PF04550_IPR007633	0	0.1024416456763152	0	0	0
PF04657_IPR006750	0	0	0	0	-0.12607619018905059
PF04773_IPR006860	0	-0.04738768960321991	0	0	0
PF04960_IPR015868	0	0	0	0.012084994872417612	0
PF04971_IPR007054	0	0	0	0	0.18204198849279168
PF04986_IPR007069	0	0.004999795146926758	0	0	0
PF05025_IPR007721	-0.18419169935375157	0	0	0.4706005504994962	0
PF05193_IPR007863	0	0	0	0.11306200389796596	0
PF05257_IPR007921	0	0.013965038254333664	0	0	0
PF05509_IPR008876	0	0	0	-0.2541231598347247	0
PF05666_IPR008617	0	0	0	0	0.011280839895111807
PF05683_IPR004647	0	0.012799454513545043	0	0	0
PF05717_IPR008878	0	0	0	0	0.005680615213756087
PF05732_IPR008813	0	0	0	0.21072482734175035	0
PF05857_IPR008875	0	0	0	0	0.13888711419193567
PF05930_IPR010260	0	0	0	-0.823087305988458	0
PF06056_IPR010332	0	0	-0.051896614694656125	0	0.34326173321892517
PF06067_IPR026325	0	0	0	0	0.9500453601342164
PF06128_IPR010366	0	0	0.3737370493314339	0	-0.2536218099380006
PF06176_IPR009330	0	0	-0.4776908743874206	0	0.362400591215761
PF06183_IPR010391	0	0	-0.6008226352276324	0	0.026317003483032304
PF06308_IPR009391	0	0	0	-0.009696549029489156	0
PF06429_IPR010930	0	0.017878969386847052	0	0	0
PF06527_IPR009492	0	0	0	3.55616942357769e-4	0
PF06630_IPR010584	0	0	0	0.29864260008186305	0
PF06688_IPR009572	0	0.12473071907866946	0	0	0
PF07120_IPR010781	0	0	0	0	0.32960618847132694
PF07128_IPR009811	0	-0.8323168643357045	0	0	0
PF07296_IPR009913	0	0	0	-0.23842323343033256	0
PF07559_IPR011491	0	0.014591736034091498	0	0	0
PF07660_IPR011662	0	-0.06199067136433615	0	0	0
PF08052_IPR012602	0	-0.18474208828492358	0	0	0
PF08281_IPR013249	0	-0.05314618025476891	0	0	0
PF08497_IPR013704	0	0.09711289022038622	0	0	0
PF08521_IPR013727	0	0.024321154673829084	0	0	0
PF08722_IPR014833	0	0	0	0.03331029054743584	0
PF09163_IPR015246	0	0	0.5051929428695983	0	0
PF09335_IPR032816	0	0.07565889572216587	0	0	0
PF09669_IPR014054	-0.2441526213175762	0	0	0	0
PF09679_IPR014112	0	0	0	-0.2354652067978677	0
PF10011_IPR018723	0	0.060379863384983946	0	0	0
PF10531_IPR019554	0	0.04985951431912199	0	0	-0.0958160661073263
PF10610_IPR014491	0	0	0	0.024522077636268402	0
PF10733_IPR019669	0	0	0	-0.3255940490162724	0
PF10735_IPR019671	0	0	0	0	-0.11444590176111259
PF10743_IPR019679	0	0.10419492581647598	0	0	0
PF10753_IPR019689	0	0	0	0	-0.10994157927350755
PF10809_IPR020126	0	0.10581248799868398	0	0	0
PF10820_IPR020251	0	0.024100796788965363	0	0	0
PF10881_IPR024402	0	0	0.4198855982872352	0	0
PF10894_IPR024396	0	0	0	-0.22838544804351474	0
PF11036_IPR020196	0	0	0	-0.013209530607709923	0
PF11039_IPR022568	0	0.13661126664538217	0	0	0
PF11046_IPR021285	0	0	0	0	-0.016369079377029864
PF11100_IPR020150	0	0	0	-0.22851205890293677	0
PF11762_IPR024664	-0.024192086929719	0	0	0.04301718067788109	0
PF11842_IPR024560	0	0.07805231104274579	0	0	0
PF12323_IPR021027	0	0	0.10210571922316486	0	0
PF12468_IPR032674	0	0.10411305723487099	0	-0.08200895284167378	0
PF12557_IPR025826	0	0	0	0	0.2057735454700937
PF12602_IPR021065	0	0	0.3780147414284512	0	0
