Variable	PEN	PEN_TMD	TMD_MAC_PEN	TMD_PEN	TMD_PEN_MAC
PF00023_IPR002110	0	0	0	0	-0.17064300748215908
PF00165_IPR018060	0	0	0.13768868014836277	0	0
PF00510_IPR000298	0	0	0	-0.38552690530364236	0
PF00959_IPR002196	-2.0531460052483947e-4	0	0	0	0
PF01024_IPR000293	0	0	0	0	0.8999140695343465
PF01070_IPR000262	0	0	-0.3944078792236264	0	0
PF01137_IPR023797	0	0	0	-1.0894400197867687e-15	0
PF01210_IPR011128	0	0	-7.494282828517244e-16	0	0
PF01278_IPR000036	0	0	0	0	-0.022313274569067097
PF01306_IPR000576	0	0.46969723771604277	0	-0.4512007638617607	0
PF01443_IPR027351	0	0	0	0	-1.4842258525506153e-7
PF01446_IPR000989	0	0.14063645602467958	0	0	0
PF01487_IPR001381	0	0	0	0	-0.3095824722307089
PF01526_IPR002513	0	0	-0.08144373195098166	0	0
PF01797_IPR002686	0.011955784733807928	-0.6073972913532237	0	0	0
PF01815_IPR000769	0	0	0	0	-0.3845781028841151
PF01845_IPR002712	0	0	0	0	-8.514096635670176e-5
PF01850_IPR002716	-0.12342682485090047	0.40463500236814004	0	0	0
PF01933_IPR002882	0	0	0	0	-0.002092389404814427
PF01967_IPR002820	0	0	0	0	-5.264805399156386e-17
PF02061_IPR013056	0	0	0	0.5004416798147754	0
PF02387_IPR003446	0	-0.2246820691979629	0	0	0.6336103761205129
PF02417_IPR003370	0	0	0.7174423415455979	0	1.0415885639940075
PF02510_IPR056746	0	0	0	0	-5.933643162483781e-5
PF02534_IPR003688	0	0.2568892926399333	0	0	0
PF02556_IPR003708	0	0	-0.005802847927403736	0	0
PF03230_IPR004914	0	0	0	-0.1677587122616152	0
PF03239_IPR004923	-0.18403906962427136	0	0	0	0
PF03245_IPR004929	0	0	-0.2863902285230744	0	0.6239337353651007
PF03374_IPR005039	0	0	0	0.0568812645080062	0
PF03389_IPR005053	0	-0.22422397008679304	0	-1.3711169197580901	0.4478707257396141
PF03432_IPR005094	0	0	-1.3037784293088417	0	0
PF03453_IPR005110	0	0	0	0	-0.018564344928740782
PF03454_IPR005111	0	0	0	0	-4.562831345935534e-16
PF03479_IPR005175	0	0	0	-0.2543816630701005	0
PF03526_IPR003061	0	1.0917071068550237	0	0	0
PF03536_IPR003519	0	0.05849720576272069	0	0	0
PF03590_IPR004618	0	-0.05792057719133645	0	0	0
PF03592_IPR005335	0	0	0	0	-0.06716933670144053
PF03626_IPR005171	0	0	0	-0.0035282360320848145	0
PF03691_IPR005363	0.20412486093634116	-0.030497788127061925	0	0	0
PF03895_IPR005594	0	0	-0.07249905917505156	0	0
PF04098_IPR041247	0	0	0	7.576763923619915e-16	0
PF04138_IPR007267	0	-1.038828077867347	0	0	0
PF04183_IPR007310	0	0	-0.07243755459415206	0	0
PF04550_IPR007633	0	0.7189043038995067	0	0	0
PF04655_IPR006748	-3.144103592398701	0.13306379128793083	0	0	0
PF04657_IPR006750	0	0	0	0	-0.2880771153902505
PF04748_IPR006837	0	0	-0.0018095775270023	0	0
PF04971_IPR007054	-1.336481013625312e-4	0	0	0	0
PF05189_IPR013791	0	0	0	-4.169461804122202e-16	0
PF05420_IPR008410	0	0	0	-0.004579079593623344	0
PF05509_IPR008876	0	0	0.8687042348285468	-1.3633312579968448	0
PF05658_IPR008640	0	0	-0.02384647470831622	0	0
PF05662_IPR008635	0	0	-7.319997181342424e-16	0	0
PF05713_IPR008687	0	0	0	0	-0.1196192783785172
PF05732_IPR008813	0	0	0	0.3259367942034914	0
PF05857_IPR008875	0	0.8599282397228581	0	0	0
