Variable	PEN	PEN_TMD	TMD_MAC_PEN	TMD_PEN	TMD_PEN_MAC
fig.623.1101.peg.1191	0	0	0	0	-0.0017900534334397518
fig.623.1101.peg.1192	0	0	0	0	-0.0016637278261152897
fig.623.1101.peg.1256	0	0.045335694015691874	0	0	0
fig.623.1101.peg.1272	0	0	0	-0.041442705953114764	0
fig.623.1101.peg.1328	0	0	0	0.10043203117762155	0
fig.623.1101.peg.138	0	-0.002396804790164135	0	0	0
fig.623.1101.peg.1440	0	-0.013264755497156742	0	0	0
fig.623.1101.peg.1472	0	0	0	-0.13235831652524793	0
fig.623.1101.peg.1476	0	0	0	0	0.009401493911636158
fig.623.1101.peg.1488	0	0	-0.11842371767662736	0	0
fig.623.1101.peg.1578	0	0	0	0	0.016468021857449455
fig.623.1101.peg.1971	0	0	0	-0.022608148583915556	0
fig.623.1101.peg.2046	0	0	-0.00507423696175793	0	0
fig.623.1101.peg.23	0	0	0	0	-0.03856447760476142
fig.623.1101.peg.234	0.10226836368387675	0	0	0	0
fig.623.1101.peg.2351	0	0	0	0.02549415035415465	0
fig.623.1101.peg.2352	0	0.01879850231996349	0	0	0
fig.623.1101.peg.2357	0	0	0	0.013523975025354278	0
fig.623.1101.peg.2358	0	0	0	0.012669659326039126	0
fig.623.1101.peg.2359	0	0	0	0.012058427545380553	0
fig.623.1101.peg.24	0	0	0	0	-0.03857776145111406
fig.623.1101.peg.2615	0	-0.05578528542661742	0	0	0
fig.623.1101.peg.2778	0	0	0	-0.029708443744823745	0
fig.623.1101.peg.280	0	0	0	-2.569205177629983e-4	0
fig.623.1101.peg.2921	0	0	0	0	-0.029908327291422714
fig.623.1101.peg.2961	0	0	0	-0.022700103958806842	0
fig.623.1101.peg.2989	0	0	0	-0.027948056136414448	0
fig.623.1101.peg.3139	0	0	0	-0.13558071151166723	0
fig.623.1101.peg.3204	0	-0.02158383271965477	0	0	0.043477147700975584
fig.623.1101.peg.3391	0	0	0	-0.04786032263786486	0
fig.623.1101.peg.3624	-9.273417809286307e-5	0	0	0	0
fig.623.1101.peg.3625	-5.504424326302115e-4	0	0	0	0
fig.623.1101.peg.3626	-6.654905613735357e-4	0	0	0	0
fig.623.1101.peg.3627	-6.552113940158383e-4	0	0	0	0
fig.623.1101.peg.3628	-6.218888839487049e-4	0	0	0	0
fig.623.1101.peg.3630	-6.020253141006494e-4	0	0	0	0
fig.623.1101.peg.3631	-5.95584097043753e-4	0	0	0	0
fig.623.1101.peg.3632	-5.935005142581112e-4	0	0	0	0
fig.623.1101.peg.3633	-5.911689930269276e-4	0	0	0	0
fig.623.1101.peg.3634	-5.891043044737197e-4	0	0	0	0
fig.623.1101.peg.3635	-5.89492839702074e-4	0	0	0	0
fig.623.1101.peg.3636	-5.937668706315429e-4	0	0	0	0
