Variable	PEN	PEN_TMD	TMD_MAC_PEN	TMD_PEN	TMD_PEN_MAC
group_10033	0	0.013501620635741401	0	0	0
group_10034	0	0.014324565588626903	0	0	0
group_10061	0	0.13589073827852893	0	0	0
group_10077	0	0	-0.021160665637868017	0	0.19692770983981142
group_10107	0	0	0.00957070346341497	0	0
group_10108	0	0	0.1070097424533234	0	0
group_10189	0	4.437823681962723e-5	0	0	0
group_10336	0	0	0	0.003803167989759229	0
group_10364	0	0.014754911008918908	0	0	0
group_10365	0	0.014906847013144042	0	0	0
group_10366	0	0.021594137639886886	0	0	0
group_10367	0	0.023629051665207002	0	0	0
group_10368	0	0.02409238541271991	0	0	0
group_10369	0	0.02394502313760272	0	0	0
group_10370	0	0.02366930455910899	0	0	0
group_10371	0	0.023396615978381014	0	0	0
group_10372	0	0.023167773502097668	0	0	0
group_10375	0	0	0.030663612917330486	0	0
group_10376	0	0	0.030910792055902702	0	0
group_10377	0	0	0.02997134817933187	0	0
group_10383	0	0.428603378437368	0	-0.18159083602201564	0
group_1042	0	0.010444914503156282	0	0	0
group_10622	0	0	0	0.0026555625346404254	0
group_10666	0	0.014890763097958035	0	0	0
group_10667	0	0.08302878286222058	0	0	0
group_10671	0	0.017207824591930466	0	0	0
group_10676	0	0.08789437040015467	0	0	0
group_1073	-9.870300342178947e-5	0	0	0	0
group_1084	-0.0020623438589104414	0	0	0	0
group_1103	-0.0024485662439674687	0	0	0	0
group_1113	-0.0024604997433995044	0	0	0	0
group_1120	-0.0024175702038437014	0	0	0	0
group_1133	0	0.012068724623035654	0	0	0
group_115	0.00364250857099818	0	0	0	0
group_1167	-0.002297940184840738	0	0	0	0
group_1217	0.004941636763305826	0	0	0	0
group_1236	0	0	0.018907752038054795	0	0
group_125	0	0.012691462630768894	0	0	0
group_1346	0.006721038801320892	0	0	0	0
group_1358	0.00784000223398431	0	0	0	0
group_1393	0.06310187258836134	0	0	0	0
group_1457	0	0	0.06815257077716744	0	0.03823082367523454
group_1473	0	0.01278039201831117	0	0	0
group_1487	0.007407736871268179	0	0	0	0
group_1632	0	0.012802396422956672	0	0	0
group_1743	0	0.22011439218157128	0	0	0
group_1791	-0.0014286465055200958	0	0	0	0
group_1800	-9.695321140625786e-4	0	0	0	0
group_1847	-8.435847804761019e-4	0	0	0	0
group_1882	0	0	0	0	-0.06702817203906948
group_1910	-7.590052114012078e-4	0	0	0	0
group_1940	0	0	0.014619829437967788	0	0
group_1942	0	0.012825012691996707	0	0	0
group_1964	0	0	-0.021600852538103472	0	0
group_1965	0	0	0	0	0.03523177303233803
group_1966	0	0	0.014929712058051093	0	0
group_2016	-6.769000659419742e-4	0	0	0	0
group_2019	0.06280737178310042	0	0	0	0
group_2100	-6.846673192281679e-4	0	0	0	0
group_2110	-5.50704939368469e-4	0	0	0	0
group_2216	0	-0.012757823887713739	0	0	0
group_2235	0	0	0.07746618774612501	0	0
group_2273	0	0.011973043236077365	0	0	0
group_2280	0	0	0.011867563454403367	0	0
group_2441	0	0	0.028381572498462664	0	0
group_2446	0	0	0.0653311676345368	0	0.03546683345017874
group_2523	0	0	-0.022486691374298078	0	0
group_255	0	0.011731954726644511	0	0	0
group_2606	-0.031993652635024926	0	0	0.11601648730483888	0
group_2662	0	0.04347817729739648	0	0	0
group_2669	-4.0366452514109595e-4	0	0	0	0
group_2673	0.006910272212790157	0	0	0	0
group_2683	0	0.012237622705367952	0	0	0
group_2721	0	0.012259494261898212	0	0	0
group_2747	0	0.01220024493351707	0	0	0
group_2759	0	0.01208003412549774	0	0	0
group_2829	0	0.011910928190463112	0	0	0
group_2845	-0.04130128666959708	0	0	0.02066152870497	0
group_2877	0	0.011704171404484064	0	0	0
group_2930	0	0.011473599996270172	0	0	0
group_2970	0	0.031736144506806015	0	0	0
group_2994	0.006422571370866275	0	0	0	0
group_3013	-1.069111112140246e-4	0	0	0	0
group_3033	0	0.010563007870329957	0	0	0
group_3086	0.17560676646466244	0	0	0	0
group_3101	0	0	0	0.016400238224129025	0
group_3107	-1.8210669705270104e-4	0	0	0	0
group_3184	0	0	0.011111243224838925	0	0
group_3187	0	0	0	0	0.04885221741900088
group_3320	0	0	0.051838862438505794	0	0
group_3350	0	0.010277474616040503	0	0	0
group_3403	0	0	0	0	0.08334359460815309
group_3418	0	-0.01532769487409586	0	0	0
group_3421	0	0	0	0.015083900181119903	0
group_3517	0	0	0	-0.03272719586896208	0
group_3543	0	0	0	0.01529892801013773	0
group_3557	0	0	0.008920092787166285	0	0
group_3614	-6.129961460397889e-5	0	0	0	0
group_3628	0	0	0	5.573583075298127e-4	0
group_3699	0	0.010190603478553462	0	0	0
group_3711	0	0	0	5.026190601969669e-4	0
group_3726	0	0.009977317935781192	0	0	0
group_3727	0	0.009780032420013626	0	0	0
group_377	-1.4423905908669485e-5	0	0	0	0
group_3820	0	-0.017502599971922682	0	0	0
group_3821	0.006685675585785148	0	0	0	0
group_3839	0	0.009663189530090667	0	0	0
group_3867	0	0	0	0	0.12276394050460428
group_3876	0	0	0	0.015536119994866728	0
group_3913	0	0	0.16188602695894644	0	0
group_3926	0.006278808608110559	0	0	0	0
group_3978	-0.019110977722935452	0	0	0	0
group_4004	0	0.009494187382318478	0	0	0
group_4005	0	0.009352603252761063	0	0	0
group_4067	0	-0.004845787246907252	0	0	0
group_4111	0	0.018590056948920488	0	0	0
group_4144	0.026022436751111423	0	0	0	0
group_4148	0	0.009079582888689073	0	0	0
group_4187	0.005586870789870551	0	0	0	0
group_4200	0	0.027707582797912047	0	-0.006071301592711217	0
group_4246	0	0	0	0	0.020314583896455747
group_4277	0	0	0	0	0.0015675257947763848
group_4311	0	0.02321852057524607	0	0	0
group_4335	0.03454385793719014	0	0	0	0
group_4359	0	0	0	-0.03986763043435587	0
group_4363	0	0.009065602587652393	0	0	0
group_4389	0.03627851788497176	0	0	0	0
group_4403	0	0	0	0.013051472997340413	0
group_4451	0	-0.1710321348926498	0	0.02151618599603027	0
group_4459	0	0	0	0.42803822045527373	0
group_4500	-0.00867953064716016	0	0	0	0
group_4510	0	0	0	-0.08694080757998128	0
group_4616	0	0	0	0.036939166661475925	0
group_4624	0	0.00873960466909361	0	0	0
group_4704	0	0	0	0	-0.004769404987211758
group_4709	0	0	0	-0.003506003419288848	0
group_471	0	0	0.008679503962975692	0	0
group_4711	0	0	0	0	-0.00459975299699532
group_4713	0.005433739684693687	0	0	0	0
group_4718	0.06153780870092549	0	0	0	0
group_4721	0	0.10338349616032574	0	0	0
group_4728	0.00553474040292014	0	0	0	0
group_4761	-0.1041406343212189	0	0	0	0
group_4767	-6.484717859087524e-4	0	0	0	0
group_4783	0	0.031217610307463468	0	0	0
group_4795	0	0.06956092515808864	0	0	0
group_4801	-0.03657110692773156	0	0	0	0
group_4810	0	0.26463033676574327	0	0	0
group_4868	0	0	-0.010486362309356274	0	0.294398369906093
group_4898	0.0363507240219712	0	0	0	0
group_4947	0	0	0	-0.01616059969551048	0
group_4981	0	0	0	0	0.11354711391997209
group_5049	-3.318791427885033e-4	0	0	0	0
group_5052	0	0	0	-0.006564201444382559	0
group_5056	0.06164560907850507	0	0	0	0
group_5058	0	0	0.1485166553874802	0	-0.007443048315009621
group_5063	0	0	0	-0.11989562377833071	0
group_5067	-0.09989256153647262	0	0	0	0
group_5121	0	0	0	0	0.3922390487490036
group_5159	0	-0.05194375043803418	0	0	0
group_5161	0	-0.09696807831898663	0	0.056205120937130426	0
group_5165	0	0.10676143339149775	0	-0.027161584024404578	0
