Variable	Importance	Sign
PF19480_IPR046058	0.7827210124015783	NEG
PF00929_IPR013520	0.21210347160625612	NEG
PF09588_IPR019080	0.21167553629314467	NEG
PF13701_IPR025668	0.2087459288860122	NEG
PF11185_IPR021352	0.07400923841875795	NEG
PF11504_IPR014740	0.07073289702495367	NEG
PF14022_IPR025332	0.06753498591116076	NEG
PF08242_IPR013217	0.026444333976825423	NEG
PF00113_IPR020810	0.007833876136833909	NEG
PF00152_IPR004364	0.007471502116239172	NEG
PF00285_IPR002020	0.007255402681317457	NEG
PF00109_IPR014030	0.0070240871276980085	NEG
PF00408_IPR005843	0.007003346852128312	NEG
PF00438_IPR022628	0.0067445680065221945	NEG
PF00474_IPR001734	0.0065018349826805	NEG
PF00484_IPR001765	0.006281110478115421	NEG
PF00682_IPR000891	0.006084248125883563	NEG
PF00698_IPR014043	0.005911703711124718	NEG
PF00797_IPR001447	0.005762167818877092	NEG
PF00834_IPR000056	0.0056324466327163465	NEG
PF01008_IPR000649	0.00502909784944043	NEG
PF01026_IPR001130	0.004959395626406257	NEG
PF01075_IPR002201	0.004839805672099987	NEG
PF01118_IPR000534	0.004718520739126974	NEG
PF01316_IPR020900	0.004595437806695785	NEG
PF01336_IPR004365	0.004469796382823933	NEG
PF00908_IPR000888	0.0043843504881144425	POS
PF01361_IPR004370	0.004341829037301836	NEG
PF01557_IPR011234	0.0042120045828338	POS
PF01809_IPR002696	0.004080484639714906	NEG
PF01863_IPR002725	0.0039468302088891075	NEG
PF01965_IPR002818	0.003809891916951059	NEG
PF02560_IPR003712	0.0037634956572774026	NEG
PF02274_.	0.0036678652426186268	NEG
PF02567_IPR003719	0.003617686225992718	NEG
PF02537_IPR003691	0.003518500140002911	NEG
PF02585_IPR003737	0.0034399919871626545	NEG
PF02665_IPR023234	0.0032514884342365958	NEG
PF02772_IPR022629	0.003052698927353554	NEG
PF02773_IPR022630	0.0028452849990721644	NEG
PF02801_IPR014031	0.0026323016464053647	NEG
PF20232_IPR046883	0.0012391301264864424	NEG
PF02863_IPR020899	0.0011586213261723579	NEG
PF20469_IPR034139	0.0010862012429034141	NEG
PF20613_IPR046748	0.0010021947381966244	NEG
PF02929_IPR004199	9.724857418443837e-4	NEG
PF21070_IPR048677	9.241272369397076e-4	NEG
PF02962_IPR004220	8.584653168880185e-4	POS
PF21291_IPR048564	8.470417649506059e-4	NEG
PF21390_IPR048655	7.727592040498728e-4	NEG
PF21764_IPR048658	7.029759218580561e-4	NEG
PF22322_IPR054246	6.388267393234605e-4	NEG
PF22679_IPR055180	5.810735627974076e-4	NEG
PF03437_IPR005137	5.534782738638005e-4	NEG
PF22809_IPR054280	5.30048189355693e-4	NEG
PF23502_IPR057002	4.855699600905245e-4	NEG
PF03972_IPR045336	4.3193356835350636e-4	NEG
PF04230_IPR007345	4.1958390872936564e-4	POS
PF23569_IPR058680	4.0464897714450655e-4	NEG
PF04166_IPR005255	3.9574213737833736e-4	NEG
PF04011_IPR007156	3.8130454541467204e-4	NEG
PF04245_IPR007358	3.578651744597422e-4	NEG
PF04266_IPR007374	3.1864804947857395e-4	NEG
PF04321_IPR029903	2.8455009862514056e-4	POS
PF04365_IPR007460	2.5399147163034466e-4	NEG
PF24390_IPR056920	1.8486506978692134e-4	NEG
PF04829_IPR006914	1.654997077905312e-4	NEG
PF25087_IPR056729	1.5765996285349479e-4	NEG
PF06130_IPR008300	1.4471805243023767e-4	NEG
PF25851_IPR058961	1.4366738719587914e-4	NEG
PF25928_IPR058279	1.3097185278228654e-4	NEG
PF06250_IPR009362	1.29123524813497e-4	NEG
PF26294_IPR058804	1.1932976957413277e-4	NEG
PF06291_IPR010438	1.1499718049968815e-4	NEG
PF06414_IPR010488	1.0216654285754286e-4	NEG
PF06506_IPR010524	9.046132563633228e-5	NEG
PF06568_IPR009506	7.970764659230945e-5	NEG
PF06723_IPR056546	6.978749668413195e-5	NEG
PF13402_IPR031161	6.618658009623494e-5	NEG
PF06744_IPR010623	6.064027668607191e-5	NEG
PF06750_IPR010627	5.224263895967124e-5	NEG
PF06761_IPR009612	4.458811247245473e-5	NEG
PF07026_IPR009750	3.7673158017262974e-5	NEG
PF07131_IPR009814	3.1489673630995565e-5	NEG
PF13657_IPR017508	3.0579068432794865e-5	NEG
PF09831_IPR018636	3.028517848449491e-5	NEG
PF07168_IPR009834	2.602180115035281e-5	NEG
PF07395_IPR009977	2.1244954803354333e-5	NEG
PF09850_IPR017732	2.0396949902397198e-5	NEG
PF07683_IPR011629	1.712584289950502e-5	NEG
PF07804_IPR012893	1.3623021134305738e-5	NEG
PF07836_IPR012425	1.0687912880995991e-5	NEG
PF07859_IPR013094	8.266312859731315e-6	NEG
PF11658_IPR017744	6.794925273752698e-6	NEG
PF09857_IPR018654	6.368541679858524e-6	NEG
PF07993_IPR013120	6.300313995289009e-6	NEG
PF08046_IPR012567	4.730493830449162e-6	NEG
PF08047_IPR012565	3.4981348055057007e-06	NEG
PF11236_IPR021398	3.1814087802326933e-6	NEG
PF08048_IPR012605	2.54724974121266e-6	NEG
PF08053_IPR012620	1.826229537716935e-6	NEG
PF11663_IPR021679	1.616465209778101e-6	NEG
PF09992_IPR018711	1.4618655887994547e-6	POS
PF08054_IPR012570	1.2890032437811614e-6	NEG
PF11319_IPR017738	8.909725917810515e-7	NEG
PF11867_IPR021810	3.1655877014966327e-7	NEG
PF10077_IPR018756	2.715814962690509e-7	NEG
PF11392_IPR021530	1.6890603419897742e-7	NEG
PF12486_IPR021069	5.0794573470447736e-8	NEG
PF10117_IPR019292	4.3226634621810126e-8	NEG
PF12674_IPR025868	6.9894030493011325e-9	NEG
PF10127_IPR018775	6.119749549977809e-9	NEG
PF12796_IPR002110	8.563375925495217e-10	NEG
PF11019_IPR022565	7.904955118985792e-10	NEG
PF12852_IPR032783	9.592210359767485e-11	NEG
PF13108_IPR025083	1.000731426627877e-11	NEG
PF13280_IPR026881	9.854464681184028e-13	NEG
