Variable	Importance	Sign
fig.623.1103.peg.312	0.6239688820993043	NEG
fig.623.1103.peg.313	0.6220419748785633	NEG
fig.623.1101.peg.2647	0.06176068557257241	NEG
fig.623.1358.peg.1307	0.05711904437688045	NEG
fig.623.2652.peg.1157	0.05603898770014176	NEG
fig.623.2652.peg.2500	0.054748370243211546	NEG
fig.623.2652.peg.2501	0.05351612285668963	NEG
fig.623.2652.peg.2885	0.05230699004504851	NEG
fig.623.2652.peg.2886	0.05112629122843754	NEG
fig.623.2652.peg.3093	0.04998896716321969	NEG
fig.623.2652.peg.345	0.0488992544000041	NEG
fig.623.2652.peg.3763	0.04785317308241759	NEG
fig.623.2652.peg.3854	0.046845087087125	NEG
fig.623.2652.peg.4021	0.045871758356261116	NEG
fig.623.2652.peg.4022	0.04493313230083899	NEG
fig.623.2652.peg.4528	0.044030970910165126	NEG
fig.623.2652.peg.4675	0.04316696295437118	NEG
fig.623.1101.peg.1303	0.02640431556691405	POS
fig.623.1103.peg.2587	0.022268207395156978	NEG
fig.623.1103.peg.311	0.019462376764478862	NEG
fig.623.305.peg.2217	0.016157046707543272	NEG
fig.623.1438.peg.1685	0.01113789896660668	NEG
fig.623.1438.peg.1687	0.009744143662587986	NEG
fig.623.1438.peg.1688	0.0073778650683237815	NEG
fig.623.1438.peg.1689	0.0049863768030739206	NEG
fig.623.1438.peg.1708	0.0030364788560898136	NEG
fig.623.1101.peg.3435	0.0029825540606191647	NEG
fig.623.1438.peg.1713	0.0016740428179624679	NEG
fig.623.1438.peg.1725	8.401697878511331e-4	NEG
fig.623.1764.peg.137	3.8641531914567986e-4	NEG
fig.623.1764.peg.138	1.6396246594428711e-4	NEG
fig.623.1764.peg.140	6.457892812360104e-5	NEG
fig.623.305.peg.2368	6.344880090935069e-5	NEG
fig.623.305.peg.3585	4.565821399388315e-5	NEG
fig.623.1764.peg.141	2.3736035047171682e-5	NEG
fig.623.1764.peg.183	1.6782289114391247e-5	NEG
fig.623.1764.peg.188	1.1219675527890884e-5	NEG
fig.623.1764.peg.168	8.179103747113447e-6	NEG
fig.623.1764.peg.195	6.392331790074751e-6	NEG
fig.623.1764.peg.220	3.2623744149948224e-6	NEG
fig.623.1764.peg.179	2.653072983147227e-6	NEG
fig.623.1764.peg.222	1.507140543815392e-6	NEG
fig.623.1764.peg.223	6.342335171187906e-7	NEG
fig.623.1764.peg.224	2.4447405744357185e-7	NEG
fig.623.1764.peg.235	8.680872147745711e-8	NEG
fig.623.1764.peg.241	2.8555794735167677e-8	NEG
fig.623.1764.peg.242	8.749339637727997e-9	NEG
fig.623.1764.peg.243	2.509545456276733e-9	NEG
