Variable	Importance	Sign
PF19480_IPR046058	0.5555599485748229	NEG
PF09588_IPR019080	0.266604638742048	NEG
PF13701_IPR025668	0.2651230914563193	NEG
PF11185_IPR021352	0.14959610671445592	NEG
PF11504_IPR014740	0.14696347059891435	NEG
PF14022_IPR025332	0.1436358677308087	NEG
PF02522_IPR003679	0.12978131297077392	NEG
PF03837_IPR018330	0.1290426818946415	NEG
PF10840_IPR022553	0.04626646595469817	NEG
PF13646_.	0.04090189514671942	NEG
PF00908_IPR000888	0.004032659012738161	POS
PF00150_IPR001547	0.0038009782402080505	NEG
PF00797_IPR001447	0.003794449622404086	NEG
PF01008_IPR000649	0.0032304350528052305	NEG
PF20239_IPR046531	0.002674584202292159	NEG
PF01361_IPR004370	0.0024343918239996304	NEG
PF01809_IPR002696	0.0018846015460833724	NEG
PF02274_.	0.0015590313470110915	NEG
PF21522_IPR049067	0.0014846233904751587	NEG
PF02395_IPR030396	0.0013839197485922845	POS
PF20232_IPR046883	0.001060356517721004	NEG
PF23552_IPR057240	6.788839247252796e-4	NEG
PF20613_IPR046748	6.323999173933533e-4	NEG
PF05139_IPR007815	5.628260680436642e-4	NEG
PF21070_IPR048677	4.2084672784106026e-4	NEG
PF09904_IPR017162	4.2037014812467576e-4	NEG
PF09665_IPR014328	3.7754498745827845e-4	NEG
PF21291_IPR048564	2.80634389960711e-4	NEG
PF23639_IPR055570	2.68762557570932e-4	NEG
PF05621_IPR008868	2.1481530169508407e-4	NEG
PF09669_IPR014054	2.0141629616351913e-4	POS
PF21390_IPR048655	1.859442349081181e-4	NEG
PF10473_IPR019513	1.7152319764842278e-4	NEG
PF21764_IPR048658	1.2675655883485627e-4	NEG
PF09831_IPR018636	9.138912607030813e-5	NEG
PF22322_IPR054246	8.15639051960167e-5	NEG
PF05666_IPR008617	7.27195414551717e-5	POS
PF22679_IPR055180	5.1345233974473074e-5	NEG
PF11348_IPR021496	3.852553802741986e-5	NEG
PF09850_IPR017732	3.688771066828583e-5	NEG
PF22809_IPR054280	3.1318535531373466e-5	NEG
PF06213_IPR006538	2.138288319171962e-5	NEG
PF11740_IPR021104	2.0206478533362742e-5	NEG
PF22945_.	1.841172172102222e-5	NEG
PF13750_IPR022038	1.323660758648641e-5	NEG
PF09857_IPR018654	1.3212208640729046e-5	NEG
PF23502_IPR057002	1.0389075602610701e-5	NEG
PF23569_IPR058680	8.206724522046532e-6	NEG
PF09907_IPR018669	7.375231657445012e-6	POS
PF07514_IPR011119	5.5927504682077115e-6	NEG
PF12846_.	5.257778491098241e-6	NEG
PF24390_IPR056920	5.246848461703582e-6	NEG
PF14338_IPR025745	3.000165925277303e-6	NEG
PF10077_IPR018756	2.583672968921465e-6	NEG
PF25851_IPR058961	2.4477271785281665e-6	NEG
PF13752_IPR025429	1.855039454816589e-6	NEG
PF11794_IPR024674	1.4486595612113825e-6	POS
PF07799_IPR012441	1.3281832788756897e-6	NEG
PF13009_IPR024965	1.1258830573325294e-6	NEG
PF25928_IPR058279	1.1105308745622117e-6	NEG
PF11867_IPR021810	9.406518047004571e-7	NEG
PF10117_IPR019292	8.535633635699035e-7	NEG
PF26294_IPR058804	4.773861303204849e-7	NEG
PF14348_IPR022266	3.7114038303204134e-7	NEG
PF12445_IPR032826	3.010436778949478e-7	POS
PF08406_IPR013615	2.905943998629695e-7	NEG
PF10127_IPR018775	2.555391180666637e-7	NEG
PF13462_IPR012336	2.094774123803621e-7	NEG
PF12468_IPR032674	7.720486767027335e-8	POS
PF08535_IPR013741	5.9217400264514223e-8	NEG
PF14436_IPR029501	4.1451660872756964e-8	NEG
PF12852_IPR032783	3.098667449550727e-8	NEG
PF12486_IPR021069	1.74695974585762e-8	NEG
PF13108_IPR025083	1.4156388224558025e-8	NEG
PF14490_IPR029493	4.368541970659922e-9	NEG
PF12674_IPR025868	3.6264656812929466e-9	NEG
PF13280_IPR026881	2.799009682822465e-9	NEG
PF12796_IPR002110	7.05476864865335e-10	NEG
PF13322_IPR025385	5.653979515890715e-10	NEG
PF17989_IPR040607	4.4347066347462496e-10	NEG
PF13384_.	1.1555257457389851e-10	POS
PF19456_IPR045809	4.385565288049866e-11	NEG
