Variable	Importance	Sign
PF13700_IPR025296	1.315001013811718	NEG
PF11809_IPR021767	1.224063529663906	NEG
PF00239_IPR006119	0.5467635788497196	NEG
PF02909_IPR004111	0.5204619695170901	NEG
PF02878_IPR005844	0.5060372346140535	POS
PF06940_IPR009706	0.5048772427041947	NEG
PF07264_IPR059112	0.5046069400002985	POS
PF08125_IPR013118	0.47756694537567884	NEG
PF00905_IPR001460	0.4580621050281394	NEG
PF00440_IPR001647	0.3019619611165376	NEG
PF13460_IPR016040	0.18974113353755606	POS
PF01526_IPR002513	0.18217935792421094	NEG
PF04542_IPR007627	0.16786259661434516	NEG
PF25954_IPR058792	0.1533726070767396	NEG
PF13354_IPR045155	0.12237718282676148	NEG
PF12571_IPR022225	0.10548199563970832	POS
PF10065_IPR019276	0.1052677174591578	POS
PF01218_IPR001260	0.10278227480335102	NEG
PF08479_IPR013686	0.08439554247455332	POS
PF08346_IPR013557	0.07817570341324509	POS
PF24233_IPR055869	0.07305675708174944	POS
PF17287_IPR035251	0.06976367340122673	POS
PF11656_IPR020317	0.06312707763715354	POS
PF22513_IPR053853	0.0542658889405355	POS
PF01726_IPR006199	0.04372713835994367	POS
PF07007_IPR009739	0.03903222038470162	POS
PF13450_.	0.03688088567729142	POS
PF12604_IPR022246	0.03236710075500929	POS
PF08681_IPR014795	0.02874587898192946	NEG
PF13676_IPR000157	0.026142881890155394	POS
PF13990_IPR025599	0.024356886901849548	POS
PF05068_IPR007761	0.013013657951026287	NEG
PF00445_IPR001568	0.00991477483046491	POS
PF01874_IPR002736	0.00800872720280066	POS
PF15919_IPR031807	0.006989950808115529	POS
PF10928_IPR021230	0.0026290519080237784	NEG
PF06857_IPR023439	0.0019661144863032747	POS
PF08218_IPR013166	6.782736981469815e-4	POS
