Drug	Reason	Total_obs	Phenotype_distribution
AMP_PRT	Too few samples for CV/split	8	Resistant=8
AMX-CLA_PRT	Too few samples for CV/split	8	Resistant=8
CAZ_PRT	Too few samples for CV/split	8	Susceptible=7; Resistant=1
CTX_PRT	Too few samples for CV/split	8	Resistant=1; Susceptible=7
CRO_AUS	Too few samples for CV/split	321	Susceptible=320; Resistant=  1
CRO_THA	Too few samples for CV/split	3	Resistant=6
TET_PRT	Too few samples for CV/split	8	Resistant=8
MEM_AUS	Too few samples for CV/split	321	Susceptible=321
CST_THA	Too few samples for CV/split	1	Resistant=2
NAL_PRT	Too few samples for CV/split	8	Resistant=8
CIP_PRT	Too few samples for CV/split	8	Resistant=8
CHL_PRT	Too few samples for CV/split	8	Resistant=8
MEM_PRT	Too few samples for CV/split	8	Susceptible=8
FOX_PRT	Too few samples for CV/split	8	Susceptible=8
SMX_PRT	Too few samples for CV/split	8	Resistant=6; Susceptible=2
GEN_AUS	Too few samples for CV/split	325	Resistant=  1; Susceptible=324
FEP_PRT	Too few samples for CV/split	8	Resistant=1; Susceptible=7
TMP_PRT	Too few samples for CV/split	8	Resistant=8
GEN_PRT	Too few samples for CV/split	8	Resistant=2; Susceptible=6
QUI_PRT	Too few samples for CV/split	8	Resistant=8
CEP_PRT	Too few samples for CV/split	8	Susceptible=29; Resistant= 3
AMF_PRT	Too few samples for CV/split	8	Resistant=8
AMG_AUS	Too few samples for CV/split	325	Susceptible=324; Resistant=  1
SUL_PRT	Too few samples for CV/split	8	Susceptible=2; Resistant=6
AMG_PRT	Too few samples for CV/split	8	Resistant=2; Susceptible=6
CEP_AUS	Too few samples for CV/split	321	Resistant=  1; Susceptible=320
POL_THA	Too few samples for CV/split	1	Resistant=2
CEP_THA	Too few samples for CV/split	3	Resistant=6
CAR_AUS	Too few samples for CV/split	321	Susceptible=321
PEN_PRT	Too few samples for CV/split	8	Resistant=8
TMD_PRT	Too few samples for CV/split	8	Resistant=8
PEN-BLI_PRT	Too few samples for CV/split	8	Resistant=8
CAR_PRT	Too few samples for CV/split	8	Susceptible=8
FLQ_PRT	Too few samples for CV/split	8	Resistant=8
TET_PRT	Too few samples for CV/split	8	Resistant=8
